inicio,varinicio,varfim,escreva,leia,se,entao,fimse,repita,fimrepita,fim,num,inteiro,literal,real,id,rcb,pt_v,fc_p,ab_p,vir,opm,opr,$
S2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Acc
,S4,,,,,,,,,,,,,,,,,,,,,,
,,,S12,S11,S16,,,S17,,S10,,,,,S13,,,,,,,,
,,S20,,,,,,,,,,S22,S24,S23,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,R2
,,,S12,S11,S16,,,S17,,S10,,,,,S13,,,,,,,,
,,,S12,S11,S16,,,S17,,S10,,,,,S13,,,,,,,,
,,,S12,S11,S16,,,S17,,S10,,,,,S13,,,,,,,,
,,,S12,S11,S16,,,S17,,S10,,,,,S13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,R39
,,,,,,,,,,,,,,,S29,,,,,,,,
,,,,,,,,,,,S32,,S31,,S33,,,,,,,,
,,,,,,,,,,,,,,,,S34,,,,,,,
,,,S12,S11,S16,,S39,,,,,,,,S13,,,,,,,,
,,,S12,S11,S16,,,,S44,,,,,,S13,,,,,,,,
,,,,,,,,,,,,,,,,,,,S45,,,,
,,,,,,,,,,,,,,,,,,,S46,,,,
,,,R3,R3,R3,,,R3,,R3,,,,,R3,,,,,,,,
,,S20,,,,,,,,,,S22,S24,S23,,,,,,,,,
,,,,,,,,,,,,,,,,,S48,,,,,,
,,,,,,,,,,,,,,,S50,,,,,,,,
,,,,,,,,,,,,,,,R9,,,,,,,,
,,,,,,,,,,,,,,,R10,,,,,,,,
,,,,,,,,,,,,,,,R11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,R12
,,,,,,,,,,,,,,,,,,,,,,,R18
,,,,,,,,,,,,,,,,,,,,,,,R24
,,,,,,,,,,,,,,,,,,,,,,,R32
,,,,,,,,,,,,,,,,,S51,,,,,,
,,,,,,,,,,,,,,,,,S52,,,,,,
,,,,,,,,,,,,,,,,,R15,,,,,,
,,,,,,,,,,,,,,,,,R16,,,,,,
,,,,,,,,,,,,,,,R25,,R17,,,,,,
,,,,,,,,,,,S56,,,,S55,,,,,,,,
,,,R25,R25,R25,,R25,R25,R25,,,,,,,,,,,,,,
,,,S12,S11,S16,,S39,,,,,,,,S13,,,,,,,,
,,,S12,S11,S16,,S39,,,,,,,,S13,,,,,,,,
,,,S12,S11,S16,,S39,,,,,,,,S13,,,,,,,,
,,,R31,R31,R31,,R31,R31,R31,R31,,,,,R31,,,,,,,,
,,,R33,R33,R33,,,R33,,R33,,,,,R33,,,,,,,,
,,,S12,S11,S16,,,,S44,,,,,,S13,,,,,,,,
,,,S12,S11,S16,,,,S44,,,,,,S13,,,,,,,,
,,,S12,S11,S16,,,,S44,,,,,,S13,,,,,,,,
,,,R38,R38,R38,,,R38,,R38,,,,,R38,,,,,,,,
,,,,,,,,,,,S56,,,,S55,,,,,,,,
,,,,,,,,,,,S56,,,,S55,,,,,,,,
,,,R4,R4,R4,,,R4,,R4,,,,,R4,,,,,,,,
,,,R5,R5,R5,,,R5,,R5,,,,,R5,,,,,,,,
,,,,,,,,,,,,,,,,,S63,,,,,,
,,,,,,,,,,,,,,,,,R8,,,S64,,,
,,,R13,R13,R13,,R13,R13,R13,R13,,,,,R13,,,,,,,,
,,,R14,R14,R14,,R14,R14,R14,R14,,,,,R14,,,,,,,,
,,,,,,,,,,,,,,,,,S65,,,,,,
,,,,,,,,,,,,,,,,,R21,,,,S72,,
,,,,,,,,,,,,,,,,,R22,R22,,,R22,R22,
,,,,,,,,,,,,,,,,,R23,R23,,,R23,R23,
,,,R28,R28,R28,,R28,R28,R28,R28,,,,,R28,,,,,,,,
,,,R29,R29,R29,,R29,R29,R29,R29,,,,,R29,,,,,,,,
,,,R30,R30,R30,,R30,R30,R30,R30,,,,,R30,,,,,,,,
,,,,,,,,,,,,,,,,,,S66,,,,,
,,,,,,,,,,,,,,,,,,,,,,S67,
,,,,,,,,,,,,,,,,,,S68,,,,,
,,R6,,,,,,,,,,R6,R6,R6,,,,,,,,,
,,,,,,,,,,,,,,,S50,,,,,,,,
,,,R19,R19,R19,,R19,R19,R19,R19,,,,,R19,,,,,,,,
,,,,,,S70,,,,,,,,,,,,,,,,,
,,,,,,,,,,,S56,,,,S55,,,,,,,,
,,,R34,R34,R34,,,,R34,,,,,,R34,,,,,,,,
,,,,,,,,,,,,,,,,,R7,,,,,,
,,,R26,R26,R26,,R26,,,,,,,,R26,,,,,,,,
,,,,,,,,,,,,,,,,,,R27,,,,,
,,,,,,,,,,,S56,,,,S55,,,,,,,,
,,,,,,,,,,,,,,,,,R20,,,,,,
,,,R35,R35,R35,,,R35,,R35,,,,,R35,,,,,,,,
,,,R36,R36,R36,,,R36,,R36,,,,,R36,,,,,,,,
,,,R37,R37,R37,,,R37,,R37,,,,,R37,,,,,,,,